Nitrogen,Phosphorus,Potassium,ph,Quality
56.18101782710438,142.60714596148742,109.79909127171076,7.190609389379256,Fertile
23.399178050430397,8.71254182522992,129.92642186624028,7.207805082202461,Medium
3.087674144370367,145.48647782429916,124.86639612006326,4.486373774747933,Poor
27.51067647801507,45.63633644393066,78.71346474483568,6.023615130494811,Medium
91.77793420835692,20.924079097806274,43.82169728028272,5.5645329030558415,Medium
117.77639420895204,29.95106732375396,77.13516576204174,7.146901982034297,Poor
102.04613078816695,67.57488779543145,1.9897441739799793,9.59541228979397,Poor
57.812475380987415,2.394937833032129,34.63407384332235,4.687178262182082,Poor
91.49949866739314,124.97923676042466,26.004698026165812,5.737424253012685,Medium
113.30421154764787,63.77338117368671,31.191249430228325,6.97390229473994,Medium
116.26992350416718,140.92484123462836,134.22410256414733,7.185299851677596,Fertile
13.273875307787925,29.39742936287178,6.78409333658071,5.277312315342851,Poor
40.70235476608438,124.3106263727894,53.51299900403839,4.966541567811666,Poor
21.138633746214396,120.32954711310595,11.182596551965624,9.908208556203622,Poor
29.80735223012586,0.8283175685403599,122.31921426822512,7.94800140693332,Medium
115.69055200289186,11.106697760113555,53.76985928164089,3.811083416675908,Poor
93.49471902413369,49.634703727897374,9.533752542903546,5.176876252009635,Medium
109.44092675070961,95.63362070328196,133.08191138644898,6.305504476133645,Fertile
106.98671808344925,114.11775729253462,84.19157963542443,8.396770259681926,Medium
78.40992440729912,64.13115275378244,3.8128690116142785,3.7552399889531314,Poor
71.30553347731676,84.49133579645755,104.32741296391913,3.9753201808411296,Poor
80.97616369525097,30.45918371021541,141.42803558369715,7.192058265419752,Fertile
132.07017585228866,93.65310722006899,44.345052875657096,3.7384598188118945,Poor
32.76606558252504,62.476492180554935,132.49203883783025,5.270415147036918,Medium
53.44467571154624,136.0242662318631,40.819837407695296,7.533830843789536,Fertile
129.10958748845152,1.0428195796786055,76.61209538663486,5.921877022041453,Medium
17.97980510005242,50.64227571054419,141.43645558687788,5.262420524145287,Medium
105.45284383427668,54.5444403568941,145.7673124081441,9.737131064594779,Poor
74.58727588385781,45.13174647251545,42.72607415662014,3.25820863148173,Poor
75.40185348432922,7.721812687498403,41.79696963549171,9.357861201766575,Poor
21.734230813683464,73.41791404163445,147.8475681165901,4.694386900580502,Poor
114.24294229930764,35.64563159885995,109.23245229177894,5.574481929034773,Medium
95.0294566141342,80.36620261121377,13.543465508161246,8.847117469124665,Poor
27.977776559978135,6.116271233214587,88.63394147823627,7.742950532895977,Poor
121.4251569209573,52.2998980937594,14.426482663713113,9.583662851427228,Poor
77.66270257912201,125.6565158860992,101.35351755589211,8.146512834685405,Medium
81.21719607413488,104.36765990176232,34.28250326959495,4.224684489671553,Poor
77.49538369065215,39.12437622456135,149.43805496368864,9.757935459021557,Poor
132.39545147840096,28.306066251206907,41.83070288882728,7.902504809809399,Medium
128.44864378171386,60.676219068328514,133.16551481414396,8.95649914137259,Poor
117.80109766709154,100.34823820713429,87.1029932154682,5.6059793659322015,Medium
146.04957551329758,42.588146210619854,45.80457905165902,6.399296275103586,Medium
149.1686193916231,26.388787901601805,2.71130454232813,6.457256006284043,Medium
54.97031768742899,111.62557845848434,108.14098863781939,5.1564255429667245,Medium
76.322111525814,95.4498927278843,37.56927279083762,7.129095932923807,Medium
73.01132294391827,135.9148181577831,65.1591548265643,5.450548853862729,Medium
100.33860894946494,129.62513476078547,34.527790236233294,6.4943536591932665,Fertile
115.28310214594634,6.540565763165063,149.18257661960115,6.2896115979366005,Fertile
132.52410333993885,112.1578160846121,142.96077705359298,5.315252132693596,Medium
85.84387037562574,147.04973755740684,11.301938400919232,5.139879135010273,Medium
40.27122853352353,72.79198114144735,55.9030300641074,5.762840267666306,Medium
139.50252522162478,10.562419627431584,31.33780764230403,7.698004617768354,Medium
38.12454736046082,44.293588262840814,48.38261463579008,8.94068856447272,Poor
