Crop,Area,Rainfall,Temperature,Yield
Sugarcane,47.58500101408589,1804.605971281605,33.23844269050346,2668.6277081091903
Maize,23.503195706327492,622.9539308616811,20.8293152152541,108.82071325709398
Maize,2.00864022049432,694.9660385643705,19.095609329882425,9.072316683746239
Soybean,1.346248955766153,704.4443653223966,21.379585811264477,3.0998868186091455
Rice,3.286617497467156,1046.4046996113846,26.110394507823717,14.679797445004453
Wheat,3.2760702232798886,269.80128451553946,19.826739078862005,11.349260830150158
Rice,47.49539132541333,1141.6612500413446,21.996806550405974,194.69500931780567
Sugarcane,25.263668595452238,1664.5089824206377,39.26139092254469,1220.5470933973133
Rice,21.83263785007099,921.3166118254592,26.614998986391488,73.29442177178103
Sugarcane,30.29709896174317,1298.1829314269785,24.780517958825826,1442.2986564989947
Rice,27.444914487064906,1217.1846943261628,27.304081500743187,102.40048968531302
Cotton,40.307652056947944,464.61559993880826,31.60751231179323,61.23753846881608
Maize,10.743277800351454,935.5534819346683,26.652922003855508,54.28581225496154
Rice,6.677583916731356,1266.2526862807129,25.86801031832402,32.60598905339043
Rice,5.675095708030154,975.2203330919926,32.34470642716196,25.98513175505662
Soybean,44.47342438624,492.4340246969036,34.632582342876816,99.66081510909616
Soybean,42.59677738903811,856.8416375307877,21.33118579543975,93.73341212955617
Sugarcane,6.286679922671918,1517.4094136476342,31.664462202444646,361.2988482298462
Sugarcane,28.6005030268428,1584.7886139581867,26.089760868500804,1811.3550999032211
Cotton,12.2111101090895,557.5677156576747,39.43612991478646,15.90902068823328
Soybean,44.142924111747625,878.5258943012325,18.66516057410237,100.15463852025358
Sugarcane,10.141932885415756,1519.415509869608,25.223267776411475,647.293805786188
Rice,6.9823097803329945,1148.8470726082114,28.620416257629387,33.04690358567466
Wheat,41.08272353020216,-31.035209512693996,13.443378871244454,124.0585229655125
Cotton,34.92936561162325,436.5291689754341,23.4650638729756,46.738120987811094
Wheat,20.787972381844,496.9033319976442,17.150858258007982,70.44068084950271
Sugarcane,13.337332495442844,1494.6972249101566,20.406143923504793,753.5943328837498
Soybean,2.619485912126871,947.4032145872923,38.316210562426434,4.762675376034187
